-53.988, -25.173, -39.505, 4.19, -22.244, -32.91, -18.673, -12.674
-18.673, -12.674, -4.389, 22.443, 12.475, -5.73, 13.269, -9.499
13.269, -9.499, 14.063, -13.269, -1.413, -38.466, -17.483, -15.65
-17.483, -15.65, -5.182, 25.022, 10.888, -7.714, 11.88, -1.563
11.88, -1.563, 12.872, 4.587, 14.162, 1.214, 16.443, 3.992
16.443, 3.992, 18.725, 6.769, 16.245, -8.408, 16.047, -20.808
16.047, -20.808, 23.586, -38.069, 25.768, -21.8, 24.776, -18.03
24.776, -18.03, 23.784, -14.261, 26.363, -6.127, 27.95, 5.777
27.95, 5.777, 36.482, 16.689, 28.645, -3.647, 32.315, -4.936
32.315, -4.936, 28.347, -31.125, 46.005, -35.291, 46.6, -26.76
46.6, -26.76, 47.195, -18.229, 47.592, -10.095, 48.584, 6.571
